date_of_birth,sub_position,position,foot,height_in_cm,current_club_id,player_club_domestic_competition_id
1987-05-09,Centre-Forward,Attack,right,172.0,667,FR1
2002-03-28,Centre-Back,Defender,right,187.0,1245,BE1
1992-08-26,Centre-Forward,Attack,right,183.0,3302,ES1
1995-06-04,Central Midfield,Midfield,right,178.0,3209,TR1
2000-03-14,Centre-Back,Defender,right,185.0,1184,BE1
2002-06-05,Left Winger,Attack,right,179.0,82,L1
1997-12-10,Right-Back,Defender,right,175.0,720,PO1
2001-05-21,Left-Back,Defender,left,174.0,124,SC1
2000-03-31,Centre-Back,Defender,right,187.0,683,GR1
1997-05-05,Right Winger,Attack,right,175.0,2832,TR1
2004-05-24,Centre-Forward,Attack,right,192.0,29,GB1
1991-10-07,Centre-Back,Defender,right,196.0,3948,BE1
1997-05-31,Left Winger,Attack,right,177.0,868,TR1
2000-10-27,Right Winger,Attack,left,174.0,2727,BE1
2005-03-19,Left Winger,Attack,right,176.0,2424,PO1
1993-06-28,Attacking Midfield,Midfield,left,181.0,265,GR1
2004-04-08,Centre-Forward,Attack,right,178.0,18,L1
1991-07-21,Central Midfield,Midfield,right,179.0,2381,TR1
2008-02-12,Left Winger,Attack,right,178.0,3840,TR1
2000-07-04,Goalkeeper,Goalkeeper,right,194.0,405,GB1
1987-01-03,Goalkeeper,Goalkeeper,right,190.0,31,GB1
1997-07-08,Attacking Midfield,Midfield,right,178.0,2293,TR1
1990-01-08,Left Winger,Attack,right,178.0,6646,TR1
1994-10-07,Central Midfield,Midfield,right,175.0,3709,ES1
1996-10-10,Right Winger,Attack,right,173.0,11282,TR1
1999-08-20,Centre-Back,Defender,right,196.0,167,L1
1992-05-09,Right Winger,Attack,left,182.0,114,TR1
1985-09-04,Centre-Back,Defender,right,190.0,1050,ES1
1994-05-06,Centre-Forward,Attack,left,189.0,868,TR1
2001-05-17,Central Midfield,Midfield,right,188.0,6646,TR1
1999-03-19,Left-Back,Defender,left,177.0,683,GR1
2002-06-21,Defensive Midfield,Midfield,right,172.0,1435,NL1
2002-08-26,Left Winger,Attack,left,179.0,667,FR1
1995-12-02,Centre-Back,Defender,right,188.0,152,TR1
1998-05-25,Attacking Midfield,Midfield,right,180.0,121,RU1
2003-11-17,Left Winger,Attack,right,178.0,1435,NL1
2004-07-06,Centre-Forward,Attack,right,192.0,3,L1
1998-07-17,Defensive Midfield,Midfield,right,183.0,10484,TR1
1993-01-28,Centre-Back,Defender,right,190.0,2282,BE1
1997-12-05,Defensive Midfield,Midfield,right,171.0,54189,BE1
2001-12-11,Central Midfield,Midfield,right,179.0,738,FR1
1997-12-01,Central Midfield,Midfield,right,177.0,924,TR1
2000-01-18,Attacking Midfield,Midfield,right,173.0,868,TR1
1999-09-28,Goalkeeper,Goalkeeper,left,188.0,60949,GR1
2001-02-20,Centre-Forward,Attack,right,187.0,3911,FR1
2006-06-02,Right-Back,Defender,right,,234,NL1
2000-05-11,Left-Back,Defender,left,175.0,2671,GR1
1997-04-09,Goalkeeper,Goalkeeper,right,187.0,2727,BE1
1994-07-19,Centre-Back,Defender,left,190.0,36,TR1
1986-03-30,Centre-Back,Defender,right,184.0,368,ES1
2003-01-22,Attacking Midfield,Midfield,right,175.0,449,TR1
1995-05-03,Left Winger,Attack,right,169.0,10484,TR1
1994-11-14,Attacking Midfield,Midfield,left,173.0,1091,GR1
2005-11-30,Centre-Forward,Attack,,,605,GR1
2002-04-23,Centre-Back,Defender,left,188.0,368,ES1
2005-03-06,Centre-Back,Defender,,186.0,533,L1
2004-01-12,Left-Back,Defender,left,187.0,6646,TR1
2000-04-12,Central Midfield,Midfield,right,183.0,54189,BE1
1992-01-01,Right-Back,Defender,right,172.0,367,ES1
2000-12-26,Centre-Back,Defender,right,187.0,601,BE1
2000-08-16,Central Midfield,Midfield,left,176.0,681,ES1
1994-03-13,Centre-Forward,Attack,right,177.0,410,IT1
1994-06-20,Right Winger,Attack,left,180.0,1269,NL1
2003-09-08,Right Winger,Attack,left,180.0,380,IT1
2005-03-20,Goalkeeper,Goalkeeper,right,193.0,2293,TR1
2002-03-25,Left-Back,Defender,left,183.0,1108,ES1
1994-08-09,Right-Back,Defender,right,175.0,2381,TR1
1990-10-27,Central Midfield,Midfield,right,180.0,3209,TR1
1991-05-02,Goalkeeper,Goalkeeper,right,193.0,23826,L1
1993-06-28,Centre-Forward,Attack,right,191.0,3209,TR1
2000-01-14,Defensive Midfield,Midfield,left,188.0,105,L1
1996-04-13,Defensive Midfield,Midfield,right,191.0,720,PO1
1992-01-28,Centre-Forward,Attack,right,180.0,2441,GR1
2003-05-11,Defensive Midfield,Midfield,both,184.0,667,FR1
1994-02-15,Attacking Midfield,Midfield,right,179.0,2441,GR1
2003-11-28,Centre-Back,Defender,left,188.0,1091,GR1
2001-05-26,Right-Back,Defender,right,174.0,467,NL1
1993-08-15,Central Midfield,Midfield,right,180.0,114,TR1
1994-12-22,Centre-Back,Defender,right,184.0,3911,FR1
1993-04-04,Goalkeeper,Goalkeeper,right,192.0,3709,ES1
2004-05-04,Centre-Forward,Attack,right,175.0,63007,UKR1
1993-02-23,Left-Back,Defender,left,183.0,3709,ES1
2003-06-06,Left-Back,Defender,left,184.0,449,TR1
1995-08-12,Centre-Forward,Attack,right,187.0,3524,FR1
2003-02-18,Attacking Midfield,Midfield,right,170.0,3911,FR1
2002-02-07,Defensive Midfield,Midfield,right,192.0,167,L1
1997-11-02,Goalkeeper,Goalkeeper,right,192.0,114,TR1
1989-08-28,Right-Back,Defender,right,178.0,13,ES1
1997-03-14,Centre-Forward,Attack,right,186.0,86,L1
2001-05-23,Attacking Midfield,Midfield,right,177.0,126,TR1
1992-05-28,Centre-Forward,Attack,right,185.0,3205,TR1
2004-08-25,Centre-Back,Defender,right,192.0,985,GB1
2002-12-19,Centre-Forward,Attack,,191.0,172,BE1
2001-09-09,Centre-Back,Defender,right,186.0,1090,NL1
1994-07-03,Defensive Midfield,Midfield,right,187.0,4294,PO1
2000-11-01,Left-Back,Defender,left,180.0,24,L1
2006-01-10,Centre-Forward,Attack,,186.0,543,GB1
1999-03-16,Goalkeeper,Goalkeeper,right,196.0,6418,GR1
1991-12-31,Centre-Back,Defender,right,178.0,3709,ES1
1997-10-31,Goalkeeper,Goalkeeper,right,196.0,723,NL1
1999-06-01,Defensive Midfield,Midfield,right,175.0,3205,TR1
1990-09-10,Goalkeeper,Goalkeeper,right,192.0,368,ES1
1995-06-12,Central Midfield,Midfield,right,175.0,2832,TR1
1997-06-21,Defensive Midfield,Midfield,right,183.0,3524,FR1
1996-09-27,Left Winger,Attack,left,179.0,379,GB1
2005-02-01,Defensive Midfield,Midfield,right,180.0,968,BE1
2004-08-14,Right Winger,Attack,right,173.0,6646,TR1
1991-04-29,Right-Back,Defender,right,174.0,989,GB1
1995-05-08,Centre-Forward,Attack,right,188.0,11127,RU1
1995-12-30,Defensive Midfield,Midfield,right,178.0,924,TR1
1992-08-28,Centre-Forward,Attack,both,185.0,11282,TR1
2004-11-26,Centre-Forward,Attack,right,197.0,1090,NL1
2001-02-26,Right Winger,Attack,both,185.0,79,L1
2001-11-12,Attacking Midfield,Midfield,right,173.0,317,NL1
2003-07-01,Defensive Midfield,Midfield,left,185.0,2832,TR1
1997-02-24,Centre-Forward,Attack,right,182.0,2381,TR1
1996-08-11,Goalkeeper,Goalkeeper,right,185.0,1108,ES1
2003-08-04,Centre-Forward,Attack,right,186.0,350,GB1
1998-03-17,Defensive Midfield,Midfield,both,193.0,6574,IT1
1993-10-12,Centre-Back,Defender,right,187.0,244,FR1
2000-12-25,Defensive Midfield,Midfield,right,188.0,2424,PO1
1994-06-13,Goalkeeper,Goalkeeper,left,188.0,306,NL1
2003-04-25,Centre-Forward,Attack,right,187.0,924,TR1
2000-12-07,Right Winger,Attack,right,177.0,1083,RU1
1996-03-18,Centre-Back,Defender,left,187.0,6418,GR1
2004-07-16,Centre-Back,Defender,right,190.0,520,BE1
1995-07-16,Centre-Back,Defender,left,191.0,405,GB1
1983-10-19,Goalkeeper,Goalkeeper,left,193.0,29,GB1
1992-03-04,Right Winger,Attack,left,184.0,368,ES1
2000-05-08,Left-Back,Defender,left,178.0,924,TR1
1996-12-20,Right Winger,Attack,right,176.0,2293,TR1
1998-10-13,Right-Back,Defender,right,180.0,924,TR1
1993-09-21,Left Winger,Attack,right,185.0,114,TR1
1997-07-09,Goalkeeper,Goalkeeper,right,186.0,940,ES1
1999-05-18,Goalkeeper,Goalkeeper,right,191.0,989,GB1
1995-04-26,Centre-Forward,Attack,right,191.0,2740,UKR1
